"room";"start";"end";"weekday";"hour";"presence";"time";"censor"
"2";"4202";2015-03-16 16:01:21;2015-03-16 18:16:21;"Monday";16.0166666666667;0;2.25;0
"4";"4202";2015-03-16 18:46:21;2015-03-16 20:46:21;"Monday";18.7666666666667;0;2;1
"5";"4202";2015-03-17 05:01:21;2015-03-17 10:16:21;"Tuesday";5.01666666666667;0;5.25;0
"7";"4202";2015-03-17 13:31:21;2015-03-17 20:46:21;"Tuesday";13.5166666666667;0;7.25;1
"8";"4202";2015-03-18 05:01:21;2015-03-18 08:31:21;"Wednesday";5.01666666666667;0;3.5;0
"10";"4202";2015-03-18 09:46:21;2015-03-18 11:46:21;"Wednesday";9.76666666666667;0;2;0
"12";"4202";2015-03-18 13:46:21;2015-03-18 14:16:21;"Wednesday";13.7666666666667;0;0.5;0
"14";"4202";2015-03-18 15:31:21;2015-03-18 18:01:21;"Wednesday";15.5166666666667;0;2.5;0
"16";"4202";2015-03-18 18:31:21;2015-03-18 20:46:21;"Wednesday";18.5166666666667;0;2.25;1
"17";"4202";2015-03-19 05:01:21;2015-03-19 07:46:21;"Thursday";5.01666666666667;0;2.75;0
"19";"4202";2015-03-19 08:31:21;2015-03-19 20:46:21;"Thursday";8.51666666666667;0;12.25;1
"20";"4202";2015-03-20 05:01:21;2015-03-20 09:01:21;"Friday";5.01666666666667;0;4;0
"22";"4202";2015-03-20 09:46:21;2015-03-20 11:46:21;"Friday";9.76666666666667;0;2;0
"24";"4202";2015-03-20 13:31:21;2015-03-20 16:16:21;"Friday";13.5166666666667;0;2.75;0
"26";"4202";2015-03-20 16:46:21;2015-03-20 20:46:21;"Friday";16.7666666666667;0;4;1
"29";"4202";2015-03-23 05:01:21;2015-03-23 12:31:21;"Monday";5.01666666666667;0;7.5;0
"31";"4202";2015-03-23 13:46:21;2015-03-23 14:31:21;"Monday";13.7666666666667;0;0.75;0
"33";"4202";2015-03-23 15:46:21;2015-03-23 18:01:21;"Monday";15.7666666666667;0;2.25;0
"35";"4202";2015-03-23 18:31:21;2015-03-23 20:46:21;"Monday";18.5166666666667;0;2.25;1
"36";"4202";2015-03-24 05:01:21;2015-03-24 20:46:21;"Tuesday";5.01666666666667;0;15.75;1
"37";"4202";2015-03-25 05:01:21;2015-03-25 12:16:21;"Wednesday";5.01666666666667;0;7.25;0
"39";"4202";2015-03-25 14:16:21;2015-03-25 14:46:21;"Wednesday";14.2666666666667;0;0.5;0
"41";"4202";2015-03-25 16:01:21;2015-03-25 18:16:21;"Wednesday";16.0166666666667;0;2.25;0
"43";"4202";2015-03-25 18:46:21;2015-03-25 20:46:21;"Wednesday";18.7666666666667;0;2;1
"44";"4202";2015-03-26 05:01:21;2015-03-26 07:46:21;"Thursday";5.01666666666667;0;2.75;0
"46";"4202";2015-03-26 08:16:21;2015-03-26 20:46:21;"Thursday";8.26666666666667;0;12.5;1
"47";"4202";2015-03-27 05:01:21;2015-03-27 08:46:21;"Friday";5.01666666666667;0;3.75;0
"49";"4202";2015-03-27 09:46:21;2015-03-27 12:16:21;"Friday";9.76666666666667;0;2.5;0
"51";"4202";2015-03-27 13:46:21;2015-03-27 14:46:21;"Friday";13.7666666666667;0;1;0
"53";"4202";2015-03-27 15:16:21;2015-03-27 15:46:21;"Friday";15.2666666666667;0;0.5;0
"55";"4202";2015-03-27 16:46:21;2015-03-27 20:46:21;"Friday";16.7666666666667;0;4;1
"58";"4202";2015-03-30 05:01:21;2015-03-30 07:31:21;"Monday";5.01666666666667;0;2.5;0
"60";"4202";2015-03-30 08:31:21;2015-03-30 12:16:21;"Monday";8.51666666666667;0;3.75;0
"62";"4202";2015-03-30 13:46:21;2015-03-30 14:31:21;"Monday";13.7666666666667;0;0.75;0
"64";"4202";2015-03-30 16:01:21;2015-03-30 17:16:21;"Monday";16.0166666666667;0;1.25;0
"66";"4202";2015-03-30 17:46:21;2015-03-30 20:46:21;"Monday";17.7666666666667;0;3;1
"67";"4202";2015-03-31 05:01:21;2015-03-31 08:46:21;"Tuesday";5.01666666666667;0;3.75;0
"69";"4202";2015-03-31 09:16:21;2015-03-31 11:16:21;"Tuesday";9.26666666666667;0;2;0
"71";"4202";2015-03-31 12:46:21;2015-03-31 13:46:21;"Tuesday";12.7666666666667;0;1;0
"73";"4202";2015-03-31 14:16:21;2015-03-31 20:46:21;"Tuesday";14.2666666666667;0;6.5;1
"74";"4202";2015-04-01 05:01:21;2015-04-01 08:46:21;"Wednesday";5.01666666666667;0;3.75;0
"76";"4202";2015-04-01 09:46:21;2015-04-01 11:16:21;"Wednesday";9.76666666666667;0;1.5;0
"78";"4202";2015-04-01 13:16:21;2015-04-01 14:46:21;"Wednesday";13.2666666666667;0;1.5;0
"80";"4202";2015-04-01 16:01:21;2015-04-01 17:16:21;"Wednesday";16.0166666666667;0;1.25;0
"82";"4202";2015-04-01 17:46:21;2015-04-01 20:46:21;"Wednesday";17.7666666666667;0;3;1
"83";"4202";2015-04-02 05:01:21;2015-04-02 07:31:21;"Thursday";5.01666666666667;0;2.5;0
"85";"4202";2015-04-02 08:16:21;2015-04-02 13:16:21;"Thursday";8.26666666666667;0;5;0
"87";"4202";2015-04-02 13:46:21;2015-04-02 15:31:21;"Thursday";13.7666666666667;0;1.75;0
"89";"4202";2015-04-02 16:16:21;2015-04-02 20:46:21;"Thursday";16.2666666666667;0;4.5;1
"90";"4202";2015-04-03 05:01:21;2015-04-03 20:46:21;"Friday";5.01666666666667;0;15.75;1
"95";"4202";2015-04-06 05:01:21;2015-04-06 07:31:21;"Monday";5.01666666666667;0;2.5;0
"97";"4202";2015-04-06 08:31:21;2015-04-06 11:01:21;"Monday";8.51666666666667;0;2.5;0
"99";"4202";2015-04-06 15:31:21;2015-04-06 16:46:21;"Monday";15.5166666666667;0;1.25;0
"101";"4202";2015-04-06 17:31:21;2015-04-06 20:46:21;"Monday";17.5166666666667;0;3.25;1
"102";"4202";2015-04-07 05:01:21;2015-04-07 08:46:21;"Tuesday";5.01666666666667;0;3.75;0
"104";"4202";2015-04-07 09:16:21;2015-04-07 09:31:21;"Tuesday";9.26666666666667;0;0.25;0
"106";"4202";2015-04-07 10:01:21;2015-04-07 10:46:21;"Tuesday";10.0166666666667;0;0.75;0
"108";"4202";2015-04-07 11:16:21;2015-04-07 11:31:21;"Tuesday";11.2666666666667;0;0.25;0
"110";"4202";2015-04-07 12:01:21;2015-04-07 20:46:21;"Tuesday";12.0166666666667;0;8.75;1
"111";"4202";2015-04-08 05:01:21;2015-04-08 09:16:21;"Wednesday";5.01666666666667;0;4.25;0
"113";"4202";2015-04-08 09:46:21;2015-04-08 10:01:21;"Wednesday";9.76666666666667;0;0.25;0
"115";"4202";2015-04-08 11:46:21;2015-04-08 13:01:21;"Wednesday";11.7666666666667;0;1.25;0
"117";"4202";2015-04-08 13:31:21;2015-04-08 14:01:21;"Wednesday";13.5166666666667;0;0.5;0
"119";"4202";2015-04-08 16:01:21;2015-04-08 18:01:21;"Wednesday";16.0166666666667;0;2;0
"121";"4202";2015-04-08 18:46:21;2015-04-08 20:46:21;"Wednesday";18.7666666666667;0;2;1
"122";"4202";2015-04-09 05:01:21;2015-04-09 07:31:21;"Thursday";5.01666666666667;0;2.5;0
"124";"4202";2015-04-09 08:16:21;2015-04-09 09:01:21;"Thursday";8.26666666666667;0;0.75;0
"126";"4202";2015-04-09 09:31:21;2015-04-09 10:46:21;"Thursday";9.51666666666667;0;1.25;0
"128";"4202";2015-04-09 13:31:21;2015-04-09 15:01:21;"Thursday";13.5166666666667;0;1.5;0
"130";"4202";2015-04-09 15:46:21;2015-04-09 20:46:21;"Thursday";15.7666666666667;0;5;1
"131";"4202";2015-04-10 05:01:21;2015-04-10 09:31:21;"Friday";5.01666666666667;0;4.5;0
"133";"4202";2015-04-10 11:16:21;2015-04-10 12:01:21;"Friday";11.2666666666667;0;0.75;0
"135";"4202";2015-04-10 12:46:21;2015-04-10 16:31:21;"Friday";12.7666666666667;0;3.75;0
"137";"4202";2015-04-10 17:31:21;2015-04-10 20:46:21;"Friday";17.5166666666667;0;3.25;1
"140";"4202";2015-04-13 05:01:21;2015-04-13 08:31:21;"Monday";5.01666666666667;0;3.5;0
"142";"4202";2015-04-13 09:46:21;2015-04-13 12:01:21;"Monday";9.76666666666667;0;2.25;0
"144";"4202";2015-04-13 13:31:21;2015-04-13 14:46:21;"Monday";13.5166666666667;0;1.25;0
"146";"4202";2015-04-13 18:16:21;2015-04-13 20:46:21;"Monday";18.2666666666667;0;2.5;1
"147";"4202";2015-04-14 05:01:21;2015-04-14 07:46:21;"Tuesday";5.01666666666667;0;2.75;0
"149";"4202";2015-04-14 08:31:21;2015-04-14 12:46:21;"Tuesday";8.51666666666667;0;4.25;0
"151";"4202";2015-04-14 13:16:21;2015-04-14 14:01:21;"Tuesday";13.2666666666667;0;0.75;0
"153";"4202";2015-04-14 15:16:21;2015-04-14 20:46:21;"Tuesday";15.2666666666667;0;5.5;1
"154";"4202";2015-04-15 05:01:21;2015-04-15 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"155";"4202";2015-04-16 05:01:21;2015-04-16 08:16:21;"Thursday";5.01666666666667;0;3.25;0
"157";"4202";2015-04-16 08:46:21;2015-04-16 10:01:21;"Thursday";8.76666666666667;0;1.25;0
"159";"4202";2015-04-16 11:16:21;2015-04-16 11:46:21;"Thursday";11.2666666666667;0;0.5;0
"161";"4202";2015-04-16 14:16:21;2015-04-16 15:01:21;"Thursday";14.2666666666667;0;0.75;0
"163";"4202";2015-04-16 17:01:21;2015-04-16 17:31:21;"Thursday";17.0166666666667;0;0.5;0
"165";"4202";2015-04-16 18:01:21;2015-04-16 20:46:21;"Thursday";18.0166666666667;0;2.75;1
"166";"4202";2015-04-17 05:01:21;2015-04-17 09:16:21;"Friday";5.01666666666667;0;4.25;0
"168";"4202";2015-04-17 10:01:21;2015-04-17 10:16:21;"Friday";10.0166666666667;0;0.25;0
"170";"4202";2015-04-17 11:46:21;2015-04-17 12:01:21;"Friday";11.7666666666667;0;0.25;0
"172";"4202";2015-04-17 14:31:21;2015-04-17 20:46:21;"Friday";14.5166666666667;0;6.25;1
"175";"4202";2015-04-20 05:01:21;2015-04-20 11:16:21;"Monday";5.01666666666667;0;6.25;0
"177";"4202";2015-04-20 12:01:21;2015-04-20 13:16:21;"Monday";12.0166666666667;0;1.25;0
"179";"4202";2015-04-20 13:46:21;2015-04-20 20:46:21;"Monday";13.7666666666667;0;7;1
"180";"4202";2015-04-21 05:01:21;2015-04-21 09:16:21;"Tuesday";5.01666666666667;0;4.25;0
"182";"4202";2015-04-21 09:46:21;2015-04-21 11:31:21;"Tuesday";9.76666666666667;0;1.75;0
"184";"4202";2015-04-21 13:46:21;2015-04-21 14:16:21;"Tuesday";13.7666666666667;0;0.5;0
"186";"4202";2015-04-21 16:46:21;2015-04-21 20:46:21;"Tuesday";16.7666666666667;0;4;1
"187";"4202";2015-04-22 05:01:21;2015-04-22 20:46:21;"Wednesday";5.01666666666667;0;15.75;1
"188";"4202";2015-04-23 05:01:21;2015-04-23 08:16:21;"Thursday";5.01666666666667;0;3.25;0
"190";"4202";2015-04-23 08:46:21;2015-04-23 20:46:21;"Thursday";8.76666666666667;0;12;1
"191";"4202";2015-04-24 05:01:21;2015-04-24 08:16:21;"Friday";5.01666666666667;0;3.25;0
"193";"4202";2015-04-24 09:16:21;2015-04-24 14:31:21;"Friday";9.26666666666667;0;5.25;0
"195";"4202";2015-04-24 16:46:21;2015-04-24 20:46:21;"Friday";16.7666666666667;0;4;1
"198";"4202";2015-04-27 05:01:21;2015-04-27 20:46:21;"Monday";5.01666666666667;0;15.75;1
"199";"4202";2015-04-28 05:01:21;2015-04-28 12:46:21;"Tuesday";5.01666666666667;0;7.75;0
"201";"4202";2015-04-28 15:01:21;2015-04-28 17:01:21;"Tuesday";15.0166666666667;0;2;0
"203";"4202";2015-04-28 18:01:21;2015-04-28 20:46:21;"Tuesday";18.0166666666667;0;2.75;1
"204";"4202";2015-04-29 05:01:21;2015-04-29 15:16:21;"Wednesday";5.01666666666667;0;10.25;0
"206";"4202";2015-04-29 16:46:21;2015-04-29 20:46:21;"Wednesday";16.7666666666667;0;4;1
"207";"4202";2015-04-30 05:01:21;2015-04-30 08:01:21;"Thursday";5.01666666666667;0;3;0
"209";"4202";2015-04-30 08:31:21;2015-04-30 20:46:21;"Thursday";8.51666666666667;0;12.25;1
"210";"4202";2015-05-01 05:01:21;2015-05-01 20:46:21;"Friday";5.01666666666667;0;15.75;1
